	Otu004_Prorocentrum	Otu008_Dinophyceae_X	Otu012_Gonyaulax	Otu015_Dinophyceae_X	Otu027_Karlodinium	Otu034_Dinophyceae_X	Otu040_Dinophyceae_X	Otu042_Dinophyceae_X	Otu001_Ostreococcus	Otu003_Bathycoccus	Otu025_Micromonas	Otu044_Micromonas	Otu032_Prasino_Clade_VII_A_4_X	Otu033_Ulva	Otu030_Teleaulax	Otu002_UCYN_A1_host	Otu009_Chrysochromulina	Otu020_Braarudosphaera	Otu022_Syracosphaera	Otu028_Emiliania	Otu039_Algirosphaera	Otu072_Prymnesiales_X	Otu005_Thalassiosira	Otu006_Pseudo_nitzschia	Otu023_Bacillariophyceae_X	Otu026_Cylindrotheca	Otu011_Chrysophyceae_Clade_C_X	Otu014_Chrysophyceae_Clade_G_X	Otu035_Chrysophyceae_Clade_G_X	Otu038_Chrysophyceae_Clade_G_X	Otu041_Chrysophyceae_Clade_I_X	Otu018_Pedinellales_X	Otu007_Pelagomonas	Otu001_nifH_UCYN_A1	Otu002_nifH_UCYN_A2	Otu004_nifH_UCYN_A3	Otu010_nifH_UCYN_A4
Otu025_Micromonas	0.147947382801	0.04291115645	-0.0909487481753	0.00131163787926	0.160128908825	-0.0491601117917	0.0499181690809	0.451168583954	0.171088205763	0.438709931506	1.0	0.118581511967	0.0849230869145	0.0109842948771	-0.0432016568345	-0.165334185291	-0.167823839516	0.0640234175707	0.0596504382199	-0.0144739680601	0.0315629961602	-0.271633444414	0.0147904427299	0.0212483297386	-0.0424601242247	-0.0206754127711	0.0674405299885	-0.30256978825	-0.0912843270112	-0.0738679400066	-0.164965069869	-0.103260071644	0.0946574573433	-0.202143963374	-0.0271507916926	0.158048589892	-0.017141601479
Otu044_Micromonas	0.0133658090814	-0.197655009829	-0.25932084891	0.172275828831	0.403930987364	-0.0861182399038	0.144181352692	0.000330762711638	0.287417285093	0.313253479963	0.118581511967	1.0	0.302716738047	-0.0449562497548	-0.144024064419	-0.143603044218	0.0436331416692	0.00256973846066	-0.170979174384	-0.224444637032	-0.0140195731947	0.088823214403	-0.1248017715	-0.183344048613	-0.0896711599727	-0.0556952625963	-0.0279932804069	-0.119486836274	0.154625313604	-0.094205943951	-0.0183260006025	0.13440256676	0.191084403616	-0.158027672763	0.130756106875	-0.0822286091395	-0.104078291914
Otu032_Prasino_Clade_VII_A_4_X	-0.0476765502396	-0.0107261704007	-0.0766877023238	-0.0166978215317	0.203670294353	-0.0495126062059	-0.237589334677	0.0832642019617	0.0682531915879	0.256090522201	0.0849230869145	0.302716738047	1.0	0.0827842541932	0.011252194525	0.0196585998648	-0.158908541512	0.0167346257892	-0.162271865872	-0.276677929025	-0.0134825822304	-0.106524471687	-0.127055806495	-0.0903554058193	0.0180500633501	0.00144330042139	0.0136896275094	-0.0646628239372	0.0676596854386	-0.0212277596578	-0.0873911823284	-0.116663956386	-0.107247654198	0.133014475015	0.273296135461	0.0766067625589	-0.0850180036746
Otu033_Ulva	-0.0859045233503	0.102293935582	-0.064758728306	0.0398814227683	-0.0247687260064	-0.0639761692022	-0.0488859118381	-0.0383185835385	-0.15147720768	-0.112617719813	0.0109842948771	-0.0449562497548	0.0827842541932	1.0	0.148343229007	0.11203173967	-0.0443702316388	-0.0464457890777	0.0660108576308	0.0234180687111	-0.0407140373717	0.222542171731	0.0954233951508	0.263094269893	-0.0380072538572	0.522445544188	-0.0255689993598	0.0163345732371	-0.0841810697126	-0.0244468311364	-0.0728148981711	-0.158199433547	-0.116664232916	0.165442644128	-0.0598080816347	0.0330508159459	0.042667451406
Otu030_Teleaulax	-0.0012258821885	-0.0799054791037	0.0229182353639	0.0433142553135	-0.0578978214606	0.398501754465	-0.0497443552787	-0.0278353442321	-0.178535947625	-0.00345290652433	-0.0432016568345	-0.144024064419	0.011252194525	0.148343229007	1.0	-0.237310651929	-0.285812101781	-0.0894666929337	0.0163313938073	0.332732786886	-0.0542207606442	0.0647788720499	0.421142729722	0.537555068413	0.135269989117	0.153948831026	-0.075945913229	-0.09361067315	-0.11238796171	-0.136878634503	0.271595973047	-0.349126366697	0.262732519168	0.137554254249	-0.0840138201494	0.0235404670428	-0.0106917701639
Otu002_UCYN_A1_host	-0.104512961474	0.0268994212131	0.25676352906	0.182120073954	-0.0460770259639	0.0285758699638	-0.154907033027	-0.0218930344735	-0.190429297212	-0.0265077808196	-0.165334185291	-0.143603044218	0.0196585998648	0.11203173967	-0.237310651929	1.0	0.470209817818	-0.185726075733	0.188553354673	-0.0887681487321	-0.184453026569	0.218856012049	-0.0978635305822	-0.113987540445	0.0271818492654	0.0344950246005	-0.045859289702	0.185742153318	0.083614066664	0.221143437571	-0.0153662440557	0.159823464326	-0.25686701225	0.41485069244	-0.118910571366	0.0829058419869	-0.100257537598
Otu009_Chrysochromulina	-0.0719647328377	-0.144462186435	0.0774013076352	-0.0520031208426	0.032389591913	-0.0797284305804	-0.0227101974964	-0.0427559205956	-0.0717506112969	-0.17166841997	-0.167823839516	0.0436331416692	-0.158908541512	-0.0443702316388	-0.285812101781	0.470209817818	1.0	0.097184396282	0.413414823682	-0.0207762988333	0.186198853828	0.178264692386	-0.0880766975209	-0.0798626378685	-0.0378513986634	-0.0742627765281	0.0310216816335	0.130042033005	0.133862657459	0.0152838118779	-0.0503010415169	0.176367390882	-0.146486605242	0.120683072745	0.14611230829	-0.0433317276569	0.0376632776318
Otu020_Braarudosphaera	0.199541145869	-0.0179406275863	0.131699659303	-0.153901079006	-0.0185620095188	0.0173353032503	0.180078648755	0.291977593874	0.14080624408	0.126749084916	0.0640234175707	0.00256973846066	0.0167346257892	-0.0464457890777	-0.0894666929337	-0.185726075733	0.097184396282	1.0	-0.0823037336487	-0.184209271519	0.480521319651	-0.0575829894408	-0.234150014616	-0.0372756612157	-0.157363674179	0.0573574378055	0.253320268358	-0.181177120178	-0.0639861108158	-0.223874627621	-0.249464794803	-0.071338433969	-0.0454771228585	-0.240274436428	0.312531694756	0.192004451097	0.22881946792
Otu022_Syracosphaera	-0.25582991695	-0.0292271958297	0.25103904734	-0.0587284710327	-0.0825404729514	-0.00822589730371	-0.0214864464395	0.153382199313	-0.10585770436	-0.103747191036	0.0596504382199	-0.170979174384	-0.162271865872	0.0660108576308	0.0163313938073	0.188553354673	0.413414823682	-0.0823037336487	1.0	0.0129623808186	0.234036150468	-0.149399036154	0.13270517853	-0.0114898729959	-0.0692240354751	-0.0185650072684	-0.0652194889555	-0.00480125351769	-0.17487656222	-0.0390081720669	-0.0969573971039	0.0890853537123	-0.0659242871562	0.286143426862	-0.0611216106443	0.154751955624	-0.0388180407987
Otu028_Emiliania	-0.0557518570493	0.281577587125	0.0444090802241	-0.110588079607	-0.112101025261	0.115651262513	-0.0899939026025	-0.0302417215065	-0.0846849937163	-0.0437182551098	-0.0144739680601	-0.224444637032	-0.276677929025	0.0234180687111	0.332732786886	-0.0887681487321	-0.0207762988333	-0.184209271519	0.0129623808186	1.0	-0.105506159508	0.0207677345445	0.296485656623	0.317644651421	0.0956904646771	-0.0471767762792	-0.0293202869802	0.0687277876595	0.0549474251494	0.0587046703591	0.34659884406	-0.079872609293	0.198398769816	-0.0711741586157	-0.274550801729	-0.201541895199	-0.155599654503
